stage,missing_rate,mechanism,seed,impute_method,day_index,file_name,status,mask_exists,missing_dataset_exists,imputed_dataset_exists,detail_exists,actual_missing_count,filled_missing_count,residual_missing_count,note
generate_missing,0.05,mcar_point,42,,0,node_flow_chunk_000.parquet,skipped_existing,True,True,False,False,201749,0,0,mask 已存在，按 skip_existing 跳过重复构造
generate_missing,0.05,mcar_point,42,,1,node_flow_chunk_001.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,2,node_flow_chunk_002.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,3,node_flow_chunk_003.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,4,node_flow_chunk_004.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,5,node_flow_chunk_005.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,6,node_flow_chunk_006.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,7,node_flow_chunk_007.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,8,node_flow_chunk_008.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,9,node_flow_chunk_009.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,10,node_flow_chunk_010.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,11,node_flow_chunk_011.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,12,node_flow_chunk_012.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,13,node_flow_chunk_013.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,14,node_flow_chunk_014.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,15,node_flow_chunk_015.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,16,node_flow_chunk_016.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,17,node_flow_chunk_017.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,18,node_flow_chunk_018.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,19,node_flow_chunk_019.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,20,node_flow_chunk_020.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,21,node_flow_chunk_021.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,22,node_flow_chunk_022.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,23,node_flow_chunk_023.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,24,node_flow_chunk_024.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,25,node_flow_chunk_025.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,26,node_flow_chunk_026.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,27,node_flow_chunk_027.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,28,node_flow_chunk_028.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,29,node_flow_chunk_029.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,30,node_flow_chunk_030.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,31,node_flow_chunk_031.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,32,node_flow_chunk_032.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,33,node_flow_chunk_033.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,34,node_flow_chunk_034.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,35,node_flow_chunk_035.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
