mechanism,impute_method,missing_rate,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape,MAE,RMSE,MAPE,sMAPE
mcar_point,forward_fill,0.05,high_flow,3268793.0,355724268.6859207,151177886218.64618,11954747.64045897,3267435.0,11004042.314902944,108.82434852433933,215.0554359718289,3.658756070268871,3.366393134989871
mcar_point,forward_fill,0.05,low_flow,3268742.0,177098106.94082206,51077155298.212105,26270373.135266356,3217296.0,19541587.80724963,54.1792857744117,125.00374639825802,8.165357845615187,5.978320652792307
mcar_point,forward_fill,0.05,mid_flow,4356911.0,421636191.40476096,160105740187.72208,26772212.183292147,4347715.0,22735498.192640528,96.77411161365494,191.69646623248073,6.157766133081894,5.218260871668145
mcar_point,function_curve_fit,0.05,high_flow,3268793.0,606683166.5139233,357414959172.87024,21508763.84876245,3267435.0,18065577.4159752,185.59852719763023,330.6683688646424,6.582767170200004,5.526681382386465
mcar_point,function_curve_fit,0.05,low_flow,3268742.0,283122391.27177125,105884858784.55437,48513435.61992183,3217296.0,32051671.632758718,86.61509267839776,179.9809787525954,15.078946923106184,9.805506715659638
mcar_point,function_curve_fit,0.05,mid_flow,4356911.0,701100726.1612211,357766392322.6019,50482975.24835742,4347715.0,35013460.182983354,160.91692627212745,286.5566071962487,11.611380977906192,8.036303744323295
mcar_point,geo_func_hybrid,0.05,high_flow,3268793.0,551166473.1223352,316723710234.4334,19710921.492637053,3267435.0,16411755.171445463,168.61467615793816,311.2766748151247,6.032536681720387,5.020738594167775
mcar_point,geo_func_hybrid,0.05,low_flow,3268742.0,264430620.92817917,99083028946.59814,44150191.917873606,3217296.0,31293044.52835026,80.89675505995247,174.10422710312065,13.722763437953365,9.573421373834417
mcar_point,geo_func_hybrid,0.05,mid_flow,4356911.0,638486953.874513,315883579202.9387,47827203.975205794,4347715.0,32148807.267433725,146.54578757163344,269.26145041492316,11.000537978042672,7.378807432016336
mcar_point,geo_neighbor_fill,0.05,high_flow,3268793.0,565031217.7829098,356206951055.0103,19942870.332749747,3267435.0,16767871.29252875,172.85622484596294,330.10909153819136,6.103524732014485,5.129682819477633
mcar_point,geo_neighbor_fill,0.05,low_flow,3268742.0,272065713.1618995,114763707639.95656,41971322.997087695,3217296.0,29276435.157461587,83.23254425154984,187.37513707337828,13.045527361202604,8.956483918725182
mcar_point,geo_neighbor_fill,0.05,mid_flow,4356911.0,646975933.3203876,350678985178.2048,48548687.65080945,4347715.0,32583174.365046456,148.4941816163763,283.70404391313593,11.166483463338663,7.478503546445281
mcar_point,historical_linear_extrapolation,0.05,high_flow,3268793.0,540360021.8383902,311126539862.6772,17626625.521869447,3267435.0,16584714.1320827,165.3087307267209,308.5139597378583,5.394636931375666,5.073650773261782
mcar_point,historical_linear_extrapolation,0.05,low_flow,3268742.0,259954640.37128192,91770395375.1857,38186581.87178066,3217296.0,28056562.45271204,79.52742687287095,167.55638414146088,11.869154057252008,8.58329059090991
mcar_point,historical_linear_extrapolation,0.05,mid_flow,4356911.0,633035753.7675291,316603691672.3651,39236566.50553494,4347715.0,33325489.94214951,145.29462588690225,269.5681902393779,9.024640875847414,7.64888012221262
mcar_point,zero_fill,0.05,high_flow,3268793.0,12274933062.450758,49856844302401.27,326743500.0,3267435.0,653487000.0,3755.1882491337806,3905.42843074452,100.0,199.9169112268657
mcar_point,zero_fill,0.05,low_flow,3268742.0,4322743467.138779,5981056909107.191,321729600.0,3217296.0,643459200.0,1322.4486567428016,1352.691140766378,100.0,196.85224468618202
mcar_point,zero_fill,0.05,mid_flow,4356911.0,9982676051.28283,24692484379447.4,434771500.0,4347715.0,869543000.0,2291.2279023562405,2380.6362897455647,100.0,199.57786606152845
