节点ID,node_flow_reference,flow_group,node_history_q95
1520263927,1807.7621765136719,mid_flow,1807.7621765136719
1520263943,2933.132378249872,mid_flow,2933.132378249872
1520264111,2839.232565957992,mid_flow,2839.232565957992
1520264147,1460.3376394803406,low_flow,1460.3376394803406
1520264551,2789.548970206839,mid_flow,2789.548970206839
1520264567,1468.9416523917776,mid_flow,1468.9416523917776
1520264591,1478.1142928326717,mid_flow,1478.1142928326717
1520264599,1434.9487464779713,low_flow,1434.9487464779713
1520264620,1417.6306022268827,low_flow,1417.6306022268827
1520264624,4632.560686955687,high_flow,4632.560686955687
1520264629,1308.1967113057121,low_flow,1308.1967113057121
1520264641,4036.3642458055842,high_flow,4036.3642458055842
1520264643,1474.6031964411502,mid_flow,1474.6031964411502
1520264680,2319.6515202756786,mid_flow,2319.6515202756786
1520264702,1461.2381471727715,low_flow,1461.2381471727715
1520264720,2977.436451396004,high_flow,2977.436451396004
1520265324,2348.618794425589,mid_flow,2348.618794425589
1520265336,2973.6679087154203,high_flow,2973.6679087154203
1520265359,1439.388680880187,low_flow,1439.388680880187
1520265361,2543.2309490266393,mid_flow,2543.2309490266393
1520265368,2981.3080694480022,high_flow,2981.3080694480022
1520265381,2847.413460153048,mid_flow,2847.413460153048
1520265390,2947.206514952613,high_flow,2947.206514952613
1520265412,2904.422975633965,mid_flow,2904.422975633965
1520265424,2954.0762118980533,high_flow,2954.0762118980533
1520265427,2830.3787901831456,mid_flow,2830.3787901831456
1520265428,2754.875058033427,mid_flow,2754.875058033427
1520265432,1482.6441350217726,mid_flow,1482.6441350217726
1520265445,4207.213146772541,high_flow,4207.213146772541
1520265446,1477.6546911020748,mid_flow,1477.6546911020748
1520265451,2096.577398581583,mid_flow,2096.577398581583
1520265457,932.1449539935003,low_flow,932.1449539935003
1520265469,850.7708630170979,low_flow,850.7708630170979
1520265471,2977.515356845543,high_flow,2977.515356845543
1520265478,1345.0651865474513,low_flow,1345.0651865474513
1520265480,3867.3632212154203,high_flow,3867.3632212154203
1520265491,2965.2636338530992,high_flow,2965.2636338530992
1520265494,4463.317775038422,high_flow,4463.317775038422
1520265502,1313.6288632252176,low_flow,1313.6288632252176
1520265504,2962.4617019403177,high_flow,2962.4617019403177
1520265517,4261.693617523693,high_flow,4261.693617523693
1520265526,1141.0802614806128,low_flow,1141.0802614806128
1520265528,1400.223671834977,low_flow,1400.223671834977
1520265532,937.8628446235032,low_flow,937.8628446235032
1520265537,4175.222902391778,high_flow,4175.222902391778
1520265552,1483.4544777792007,mid_flow,1483.4544777792007
1520266226,2326.3197331663036,mid_flow,2326.3197331663036
1520266261,1302.4714175365011,low_flow,1302.4714175365011
1520266271,1138.3022525974961,low_flow,1138.3022525974961
1520266294,1419.0515887150998,low_flow,1419.0515887150998
1520266303,1240.8343996141778,low_flow,1240.8343996141778
1520266311,1789.8491391041239,mid_flow,1789.8491391041239
1520266322,2948.3285392386015,high_flow,2948.3285392386015
1520266334,1103.6573271204213,low_flow,1103.6573271204213
1520266339,2761.0921270651897,mid_flow,2761.0921270651897
1520266344,2529.9629226434427,mid_flow,2529.9629226434427
1520266345,3191.932545146004,high_flow,3191.932545146004
1520266352,1482.6441350217726,mid_flow,1482.6441350217726
1520266362,1194.1400821873399,low_flow,1194.1400821873399
1520266370,2096.577398581583,mid_flow,2096.577398581583
1520266384,2981.3080694480022,high_flow,2981.3080694480022
1520266392,2973.1301909900103,high_flow,2973.1301909900103
1520266419,1335.8081715067879,low_flow,1335.8081715067879
1520266421,2977.6945160412397,high_flow,2977.6945160412397
1520266422,1462.4598688844774,low_flow,1462.4598688844774
1520266425,284.1161934274142,low_flow,284.1161934274142
1520266431,0.0,low_flow,0.0
1520266433,2558.494790999616,mid_flow,2558.494790999616
1520266458,2709.2372106333246,mid_flow,2709.2372106333246
1520266472,0.0,low_flow,0.0
1520266493,2952.612947057505,high_flow,2952.612947057505
1520267116,1492.7457545546235,mid_flow,1492.7457545546235
1520267136,1349.1311865634605,low_flow,1349.1311865634605
1520267145,1410.140621998271,low_flow,1410.140621998271
1520267174,2781.566464283427,mid_flow,2781.566464283427
1520267187,1444.727077796811,low_flow,1444.727077796811
1520267190,1473.4850003602076,mid_flow,1473.4850003602076
1520267193,1488.9943197281634,mid_flow,1488.9943197281634
1520267213,1332.2991022829149,low_flow,1332.2991022829149
1520267235,1340.0517277952101,low_flow,1340.0517277952101
1520267249,1467.4495259269338,low_flow,1467.4495259269338
1520267251,2921.255381099513,mid_flow,2921.255381099513
1520267254,1408.1461411773182,low_flow,1408.1461411773182
1520267259,1473.7016301389601,mid_flow,1473.7016301389601
1520267262,1333.4913800349002,low_flow,1333.4913800349002
1520267290,1348.966097472144,low_flow,1348.966097472144
1520267299,1968.175208920338,mid_flow,1968.175208920338
1520267307,2985.0057753265883,high_flow,2985.0057753265883
1520267320,1450.2275800861296,low_flow,1450.2275800861296
1520268161,2829.508823082095,mid_flow,2829.508823082095
1520268163,1356.3540739465932,low_flow,1356.3540739465932
1520268186,3625.7809618340166,high_flow,3625.7809618340166
1520269384,1427.3036118804432,low_flow,1427.3036118804432
1520269434,1449.4595216844903,low_flow,1449.4595216844903
1520269486,1439.388680880187,low_flow,1439.388680880187
1520269637,1467.6641245357325,low_flow,1467.6641245357325
1520269671,4036.3642458055842,high_flow,4036.3642458055842
1520269684,2977.436451396004,high_flow,2977.436451396004
1520269698,2925.6467505283044,mid_flow,2925.6467505283044
1520269738,4153.4988533395235,high_flow,4153.4988533395235
1520270740,3652.1510630122953,high_flow,3652.1510630122953
1520270750,2829.508823082095,mid_flow,2829.508823082095
1520271133,2960.9617859887294,high_flow,2960.9617859887294
1520271140,4398.521688492572,high_flow,4398.521688492572
1520271142,2973.0834580718492,high_flow,2973.0834580718492
1520271148,1393.4612616867316,low_flow,1393.4612616867316
1520271150,1903.0132456294825,mid_flow,1903.0132456294825
1520271168,2558.494790999616,mid_flow,2558.494790999616
1520271191,2973.1301909900103,high_flow,2973.1301909900103
1520271192,3526.530975842085,high_flow,3526.530975842085
1520271196,1490.1055217805456,mid_flow,1490.1055217805456
1520271205,1476.7215376056608,mid_flow,1476.7215376056608
1520271209,3272.046929031122,high_flow,3272.046929031122
1520271212,2948.3285392386015,high_flow,2948.3285392386015
1520271217,1284.3090109903305,low_flow,1284.3090109903305
1520271218,2511.4512599257173,mid_flow,2511.4512599257173
1520271223,2394.3666251761015,mid_flow,2394.3666251761015
1520271224,1483.2664154553022,mid_flow,1483.2664154553022
1520271250,1368.1994849033042,low_flow,1368.1994849033042
1520271269,0.0,low_flow,0.0
1520271272,2787.4896380315063,mid_flow,2787.4896380315063
1520271273,1307.3952976914702,low_flow,1307.3952976914702
1520271274,2801.841898933786,mid_flow,2801.841898933786
1520271275,2923.1531502145235,mid_flow,2923.1531502145235
1520271278,1301.9338639056095,low_flow,1301.9338639056095
1520271284,2529.124501712987,mid_flow,2529.124501712987
1520271286,3615.556128329918,high_flow,3615.556128329918
1520271303,707.437713873191,low_flow,707.437713873191
1520271304,1476.9717417232325,mid_flow,1476.9717417232325
1520271311,3773.509731605405,high_flow,3773.509731605405
1520271318,1384.117115458504,low_flow,1384.117115458504
1520271319,1454.570927854444,low_flow,1454.570927854444
1520271320,1317.2249755859375,low_flow,1317.2249755859375
1520271321,1194.1400821873399,low_flow,1194.1400821873399
1520271324,2880.8484747214397,mid_flow,2880.8484747214397
1520271329,1909.8805632044057,mid_flow,1909.8805632044057
1520271338,2605.3798668032787,mid_flow,2605.3798668032787
1520271343,1371.170654296875,low_flow,1371.170654296875
1520271344,2973.328297099129,high_flow,2973.328297099129
1520271346,1457.19740470511,low_flow,1457.19740470511
1520271347,3779.7433341604765,high_flow,3779.7433341604765
1520271348,1463.0762369124616,low_flow,1463.0762369124616
1520271355,2967.82986800397,high_flow,2967.82986800397
