missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,long,54,4857298,4857298,0,964008375.0,768620822528.0,748580.3916015625,4829353,493051.265625,4842735,0.0,10467.60546875,198.4659732633246,397.79443067596605,0.15500635211415742,0.10181256369076565,0.038002428718157365,True
0.05,forward_fill,mid,54,4656990,4656990,0,761206495.0,520497860608.0,514073.91357421875,4630171,398322.119140625,4641009,0.0,10434.712890625,163.45461231396246,334.31573808126757,0.11102698228083126,0.08582662070696803,0.032038805627477435,True
0.05,forward_fill,short,54,1395646,1395646,0,168288937.25,88309714432.0,106681.37561035156,1387846,91396.42724609375,1390380,0.0,10422.25390625,120.58139187874289,251.54552903562322,0.07686830931555198,0.06573485467720605,0.024135425148755666,True
0.05,function_curve_fit,long,54,4857298,4857298,0,658537634.0,323112944128.0,548304.6801757812,4829353,367465.06884765625,4857298,0.0,10467.60546875,135.5769471010426,257.9169021985977,0.11353584634955889,0.0756521565791632,0.02463953221857502,True
0.05,function_curve_fit,mid,54,4656990,4656990,0,630986637.0,309218436096.0,518792.7822265625,4630171,352397.029296875,4656990,0.0,10434.712890625,135.4923753325646,257.67959960784765,0.11204613873365854,0.07567055744093824,0.024694459953887013,True
0.05,function_curve_fit,short,54,1395646,1395646,0,189072710.25,92890563840.0,132275.32861328125,1387846,105515.2490234375,1395646,0.0,10422.25390625,135.47325772437998,257.9872017081073,0.09530980282630871,0.07560316084697516,0.024753494208522204,True
0.05,historical_linear_extrapolation,long,54,4857298,4857298,0,795445925.0,488120837632.0,546968.21875,4829353,421448.5283203125,4848506,0.0,10467.60546875,163.7630478920585,317.00513675710044,0.11325910919123121,0.08692337976282023,0.030284398633812472,True
0.05,historical_linear_extrapolation,mid,54,4656990,4656990,0,762668051.0,467547899904.0,517614.064453125,4630171,404484.39501953125,4648514,0.0,10434.712890625,163.76845365783478,316.85488173257954,0.11179156546337597,0.08701369836027842,0.030365462380594656,True
0.05,historical_linear_extrapolation,short,54,1395646,1395646,0,228976303.75,141096180480.0,152086.58349609375,1387846,121922.837890625,1393353,0.0,10422.25390625,164.06474403251255,317.95817172693194,0.10958462502042284,0.08750319401517419,0.03050762096059273,True
0.05,road_topology_neighbor_fill,long,54,4857298,4857298,0,2541671976.0,3550319370240.0,1540888.783203125,4829353,1005632.59765625,4854039,0.0,10467.60546875,523.2686930058646,854.9413775463975,0.3190673332852506,0.20717439593218143,0.08167497142481538,True
0.05,road_topology_neighbor_fill,mid,54,4656990,4656990,0,2437941564.0,3405640941568.0,1436045.236328125,4630171,966365.935546875,4653788,0.0,10434.712890625,523.5015673213815,855.1588141947368,0.3101495034045449,0.20765147349790644,0.08195326724926459,True
0.05,road_topology_neighbor_fill,short,54,1395646,1395646,0,731200936.0,1022957094912.0,394296.04150390625,1387846,290179.71337890625,1394801,0.0,10422.25390625,523.9157608734594,856.1326734997141,0.2841064797563319,0.20804380938851222,0.08214467630521934,True
0.05,topology_function_hybrid,long,54,4857298,4857298,0,1473798012.0,1106253613056.0,991152.94140625,4829353,667287.708984375,4857298,0.0,10467.60546875,303.41931090083415,477.2324613607551,0.2052351404849159,0.13737837558749227,0.04559136879828776,True
0.05,topology_function_hybrid,mid,54,4656990,4656990,0,1412622886.0,1060573784064.0,925903.54296875,4630171,640682.4072265625,4656990,0.0,10434.712890625,303.33388862763286,477.21907125331916,0.19997178138102242,0.13757435751989214,0.04573379989037107,True
0.05,topology_function_hybrid,short,54,1395646,1395646,0,423809151.5,318584235520.0,247847.20922851562,1387846,192249.22631835938,1395646,0.0,10422.25390625,303.6652213383623,477.77619049391984,0.178584085862924,0.13774927619063815,0.045841925824452213,True
0.05,zero_fill,long,54,4857298,4857298,0,11864591376.0,36006621937664.0,4829353.0,4829353,9658706.0,4829353,0.0,10467.60546875,2442.631968637708,2722.6625331688556,1.0,2.0,0.2601036637554878,True
0.05,zero_fill,mid,54,4656990,4656990,0,11364692832.0,34448706633728.0,4630171.0,4630171,9260342.0,4630171,0.0,10434.712890625,2440.351564422513,2719.7802004565847,1.0,2.0,0.2606473440107924,True
