num_clients,method,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std
3,FedAvg,42.76355457305908,38.683044766212504,5.915564821725453,2.956493419517676,4.726341353522407,2.3508906199695088,5.959650129079819,2.26284807554507
3,Independent,56.913064320882164,54.953211064609995,6.661534522306592,3.755549213513865,5.540601465437147,3.3379002044452615,7.1027867082092495,3.5681254328653704
3,Proposed,41.94694550832113,38.827258021795515,5.8218695362949955,3.009880095122827,4.630496263504028,2.400030588441062,5.83134719894992,2.3303915440456766
5,FedAvg,66.76688477198283,84.57311816800515,7.050345538892578,4.275283518693779,5.59100915590922,3.65989808397864,53.94825100898743,135.81217721594234
5,Independent,71.94817237854004,69.60721829370613,7.544921665422643,4.011901416122865,6.025364398956299,3.242947356025908,53.20441596210003,135.46590781896168
5,Proposed,66.05838108062744,84.50814374447597,6.977354324102825,4.314623106766981,5.48785445690155,3.6556299016263907,50.65291931231817,124.88851124938869
8,FedAvg,63.301296154658,84.21446670880371,6.774133206568258,4.262566949130507,5.399543821811676,3.605636202286211,38.31795855270078,117.91183381886549
8,Independent,66.47742899258931,64.68762800152074,7.205373443052994,3.8978284976306843,5.787724822759628,3.24051319506704,35.892175564852856,108.14921563939629
8,Proposed,61.51960647106171,81.31789913614868,6.679632477329883,4.199641778370882,5.298906187216441,3.5304527895379083,36.99831150782605,112.87132177688984
10,FedAvg,68.41659361521403,83.40881131957153,7.148321602428546,4.232643082715096,5.634505120913188,3.5660004031113703,44.186597714821495,116.83271145150047
10,Independent,65.78041248321533,59.12234478248322,7.3086475555072825,3.5763712189572288,5.776780486106873,2.950791680854114,34.5424662095805,97.76964630395548
10,Proposed,67.36705039342245,81.91082004132927,7.088255238700031,4.208819319795863,5.566793862978617,3.5341654085040783,42.92435236275196,113.20460266794187
