seed,noniid_level,method,client_id,mse,rmse,mae,mape
42,low,Independent,0,7.080275058746338,2.6608786253315535,2.1207942962646484,2.6877829805016518
42,low,Independent,1,8.683404922485352,2.9467617688719514,2.3573648929595947,3.241388499736786
42,low,Independent,2,15.749533653259277,3.968568211995263,3.3393971920013428,4.271498695015907
42,low,Independent,3,18.40062141418457,4.289594551258262,3.498971939086914,4.729821160435677
42,low,Independent,4,17.623292922973633,4.198010591098316,3.4347970485687256,4.734448716044426
42,low,FedAvg,0,7.020866394042969,2.6496917545335283,2.160449504852295,2.7675027027726173
42,low,FedAvg,1,9.76463508605957,3.1248416097555363,2.4531936645507812,3.4092169255018234
42,low,FedAvg,2,13.99724006652832,3.741288556971825,3.164489507675171,4.03849333524704
42,low,FedAvg,3,13.739184379577637,3.7066405786881518,2.996907949447632,4.026870429515839
42,low,FedAvg,4,12.350492477416992,3.514326745966714,2.86057710647583,3.9177123457193375
42,low,Proposed,0,6.990477561950684,2.643951126997374,2.1565585136413574,2.7631085366010666
42,low,Proposed,1,9.789916038513184,3.128884152299855,2.456528663635254,3.414269909262657
42,low,Proposed,2,13.961069107055664,3.736451405686372,3.162045478820801,4.035896062850952
42,low,Proposed,3,13.765531539916992,3.710192924891776,3.002506732940674,4.034914821386337
42,low,Proposed,4,12.311138153076172,3.50872315138658,2.8563826084136963,3.9124391973018646
2024,low,Independent,0,11.966930389404297,3.4593251349655323,2.790893316268921,3.487212210893631
2024,low,Independent,1,12.676277160644531,3.560375985853816,2.974363327026367,4.106162488460541
2024,low,Independent,2,14.88495922088623,3.8581030599099124,3.0435688495635986,3.9851654320955276
2024,low,Independent,3,11.916840553283691,3.4520777154177296,2.7756433486938477,3.4837141633033752
2024,low,Independent,4,16.339427947998047,4.042205827020446,3.3324038982391357,4.27042692899704
2024,low,FedAvg,0,7.260431289672852,2.6945187491782,2.1592774391174316,2.6831129565835
2024,low,FedAvg,1,8.216205596923828,2.8663924359591495,2.322781801223755,3.153516724705696
2024,low,FedAvg,2,10.210790634155273,3.195432777286243,2.47788667678833,3.2333385199308395
2024,low,FedAvg,3,10.517060279846191,3.2430017391062544,2.6131415367126465,3.263411670923233
2024,low,FedAvg,4,8.5543212890625,2.924777134939088,2.287651538848877,2.9266472905874252
2024,low,Proposed,0,7.268614768981934,2.6960368634315692,2.1594862937927246,2.6835868135094643
