round,method,client_id,train_loss,val_mse,val_rmse,val_mae
1,FedAvg,0,0.2967670885475235,37.517303466796875,6.125137016165179,5.359831809997559
1,FedAvg,1,0.3405431954591882,80.9200210571289,8.995555628038154,7.149601936340332
1,FedAvg,2,0.8620802471095648,138.50900268554688,11.768984777182222,9.726866722106934
1,FedAvg,3,0.38697402148830645,40.03653335571289,6.327442876527049,5.091618537902832
1,FedAvg,4,0.5043290380550467,267.6215515136719,16.359142749963148,11.33590316772461
2,FedAvg,0,0.23696511893138394,31.99715232849121,5.656602542913123,4.9279069900512695
2,FedAvg,1,0.320816835185059,69.16445922851562,8.316517253545237,6.451538562774658
2,FedAvg,2,0.8391529837364642,128.95252990722656,11.355726745005207,9.267274856567383
2,FedAvg,3,0.34658679670217085,38.44511795043945,6.200412724201467,4.9588165283203125
2,FedAvg,4,0.5066334576525303,257.5083312988281,16.047066127452336,11.002949714660645
3,FedAvg,0,0.20980965637490676,28.67827033996582,5.355209644819316,4.558833599090576
3,FedAvg,1,0.29851296026499663,48.14119338989258,6.938385503119049,5.242308139801025
3,FedAvg,2,0.8450695694812107,109.25435638427734,10.452480872227289,7.7509050369262695
3,FedAvg,3,0.2974415284638502,44.83562469482422,6.695940911837874,5.31765604019165
3,FedAvg,4,0.514705210739041,257.6186218261719,16.05050222971767,11.070276260375977
4,FedAvg,0,0.17978535023729472,22.44963264465332,4.7381043302837185,3.919275999069214
4,FedAvg,1,0.2963048941781875,53.95765686035156,7.3455875776109,5.339807987213135
4,FedAvg,2,0.8721011442917453,126.21234130859375,11.234426612364057,9.094344139099121
4,FedAvg,3,0.2835512296581755,33.976959228515625,5.8289758301536665,4.698424816131592
4,FedAvg,4,0.4316742568282607,206.7752685546875,14.379682491442136,9.579896926879883
5,FedAvg,0,0.1681251748523891,20.523941040039062,4.530335643198974,3.697695016860962
5,FedAvg,1,0.27700667550750807,47.94844436645508,6.924481523295089,4.8489670753479
5,FedAvg,2,0.8335648393726924,122.971435546875,11.089248646634045,8.840170860290527
5,FedAvg,3,0.29832925024081247,30.38957405090332,5.512673947450849,4.41306209564209
5,FedAvg,4,0.40042410069000645,231.36961364746094,15.21083868981132,9.802201271057129
6,FedAvg,0,0.20821951779883696,21.140445709228516,4.597874042340494,3.955296754837036
6,FedAvg,1,0.2817423994384226,36.80033493041992,6.066327961000783,4.191131591796875
6,FedAvg,2,0.8298948367596632,111.14585876464844,10.542573630980646,7.615787029266357
6,FedAvg,3,0.2712607627012292,39.05265426635742,6.24921229166984,4.950153350830078
6,FedAvg,4,0.45765564641597106,242.54661560058594,15.573908167206648,11.557147026062012
7,FedAvg,0,0.18653758449493024,21.8618106842041,4.675661523699518,4.096571445465088
7,FedAvg,1,0.2652525747356628,36.38069152832031,6.031640865330123,4.21843147277832
7,FedAvg,2,0.810002738021509,111.07572174072266,10.539246734976967,7.462794303894043
7,FedAvg,3,0.278904134521679,40.63333511352539,6.374428218556186,5.000460147857666
7,FedAvg,4,0.3912897298795096,273.5355529785156,16.538910271795892,13.125323295593262
8,FedAvg,0,0.22235909889537223,14.941405296325684,3.8654114006565568,3.1856203079223633
8,FedAvg,1,0.2651406740274082,57.40547561645508,7.5766401271576225,5.488605499267578
8,FedAvg,2,0.7926022332439,121.54708099365234,11.024839272916967,8.93912410736084
8,FedAvg,3,0.2685050946109149,28.4365234375,5.332590687226988,4.1173996925354
8,FedAvg,4,0.4589038864530114,198.79647827148438,14.099520497927735,10.553439140319824
9,FedAvg,0,0.17216504068578434,12.487003326416016,3.5336954207197904,2.8364250659942627
9,FedAvg,1,0.2693202245135267,46.7815055847168,6.839700694088653,4.85855770111084
9,FedAvg,2,0.8352832098602049,117.9415054321289,10.860087726723432,8.60264778137207
9,FedAvg,3,0.27513899669355274,27.00936508178711,5.197053499992771,3.975651979446411
9,FedAvg,4,0.37390290709756174,196.7120361328125,14.025406808104089,9.537481307983398
10,FedAvg,0,0.1484502675033565,12.353089332580566,3.514696193496753,2.8228790760040283
10,FedAvg,1,0.2654758411921373,45.61527633666992,6.753908226846876,4.77561092376709
10,FedAvg,2,0.812531406970571,112.81886291503906,10.621622423859693,8.193878173828125
10,FedAvg,3,0.2723366520842727,27.147138595581055,5.210291603699456,3.9567887783050537
10,FedAvg,4,0.4175335168838501,201.29591369628906,14.187879111984605,9.601967811584473
11,FedAvg,0,0.16542711819083686,10.9376859664917,3.3072172542020426,2.698439836502075
11,FedAvg,1,0.2593388814552158,41.19276428222656,6.418158948033818,4.5025315284729
11,FedAvg,2,0.7609746036395221,111.07769775390625,10.5393404800256,8.066434860229492
11,FedAvg,3,0.2660144418478012,27.642471313476562,5.25761079897291,4.007735729217529
11,FedAvg,4,0.4086635903171871,193.85964965820312,13.923349081963115,8.966344833374023
12,FedAvg,0,0.14765069905921502,11.186249732971191,3.3445851361523435,2.6699793338775635
12,FedAvg,1,0.2669978806284629,51.68110275268555,7.188957000336387,5.202680587768555
