seed,aggregation_method,client_id,mse,rmse,mae,mape
42,FedAvg,0,10.236201286315918,3.199406395929707,2.6335065364837646,3.421173244714737
42,FedAvg,1,25.780906677246094,5.077490194697188,4.080389499664307,6.7145101726055145
42,FedAvg,2,94.01580047607422,9.696174527929776,8.066919326782227,8.840888738632202
42,FedAvg,3,18.797327041625977,4.335588430839115,3.4565112590789795,4.908643290400505
42,FedAvg,4,119.75666809082031,10.943338982724619,8.234550476074219,109.57446098327637
42,Loss-weighted,0,6.474010944366455,2.544407778711277,2.057715654373169,2.6497336104512215
42,Loss-weighted,1,19.462453842163086,4.41162711957426,3.5586423873901367,5.715339258313179
42,Loss-weighted,2,88.64703369140625,9.415255370482855,7.592850208282471,8.173785358667374
42,Loss-weighted,3,14.867995262145996,3.8559039487707674,3.019162893295288,4.191941395401955
42,Loss-weighted,4,126.18358612060547,11.233146759506237,8.163663864135742,99.44027066230774
42,Data-loss weighted,0,8.022550582885742,2.832410736966964,2.31230092048645,2.994498983025551
42,Data-loss weighted,1,22.331668853759766,4.725639517965771,3.80072021484375,6.203163787722588
42,Data-loss weighted,2,91.9468994140625,9.588894587702093,7.910648822784424,8.613638579845428
42,Data-loss weighted,3,17.181699752807617,4.145081392784419,3.278719902038574,4.615244269371033
42,Data-loss weighted,4,126.61170959472656,11.25218688054578,8.443693161010742,106.37837648391724
42,Proposed,0,8.781795501708984,2.9634094387561407,2.4271185398101807,3.147970139980316
42,Proposed,1,23.647781372070312,4.86289845381027,3.9018704891204834,6.393837928771973
42,Proposed,2,92.7535400390625,9.630863930046074,7.972728729248047,8.7102971971035
42,Proposed,3,17.560787200927734,4.190559294524745,3.323340654373169,4.700862243771553
42,Proposed,4,119.33064270019531,10.92385658548277,8.156121253967285,107.4416995048523
