seed,lambda,client_id,mse,rmse,mae,mape
42,0.0,0,6.474010944366455,2.544407778711277,2.057715654373169,2.6497336104512215
42,0.0,1,19.462453842163086,4.41162711957426,3.5586423873901367,5.715339258313179
42,0.0,2,88.64703369140625,9.415255370482855,7.592850208282471,8.173785358667374
42,0.0,3,14.867995262145996,3.8559039487707674,3.019162893295288,4.191941395401955
42,0.0,4,126.18358612060547,11.233146759506237,8.163663864135742,99.44027066230774
42,0.25,0,7.109312057495117,2.666329322775999,2.161139488220215,2.7923764660954475
42,0.25,1,20.669788360595703,4.546403893254063,3.6604158878326416,5.9327904134988785
42,0.25,2,90.02487182617188,9.488143750290247,7.754995346069336,8.402366936206818
42,0.25,3,15.620737075805664,3.9523078164289864,3.1210901737213135,4.368610680103302
42,0.25,4,123.47511291503906,11.111935606141671,8.189655303955078,102.74770259857178
42,0.5,0,8.022550582885742,2.832410736966964,2.31230092048645,2.994498983025551
42,0.5,1,22.331668853759766,4.725639517965771,3.80072021484375,6.203163787722588
42,0.5,2,91.9468994140625,9.588894587702093,7.910648822784424,8.613638579845428
42,0.5,3,17.181699752807617,4.145081392784419,3.278719902038574,4.615244269371033
42,0.5,4,126.61170959472656,11.25218688054578,8.443693161010742,106.37837648391724
42,0.75,0,9.112704277038574,3.018725604793946,2.477543592453003,3.2148294150829315
42,0.75,1,24.28038787841797,4.927513356493107,3.9576315879821777,6.494111567735672
42,0.75,2,93.09886169433594,9.648775139588233,7.992739677429199,8.739801496267319
42,0.75,3,17.97271728515625,4.2394241690536525,3.369847059249878,4.774399846792221
42,0.75,4,119.20986938476562,10.918327224660636,8.170693397521973,107.96315670013428
42,1.0,0,10.236201286315918,3.199406395929707,2.6335065364837646,3.421173244714737
42,1.0,1,25.780906677246094,5.077490194697188,4.080389499664307,6.7145101726055145
42,1.0,2,94.01580047607422,9.696174527929776,8.066919326782227,8.840888738632202
42,1.0,3,18.797327041625977,4.335588430839115,3.4565112590789795,4.908643290400505
42,1.0,4,119.75666809082031,10.943338982724619,8.234550476074219,109.57446098327637
