seed,num_clients,method,client_id,mse,rmse,mae,mape
42,3,Independent,0,7.1110758781433105,2.6666600604770214,2.1472713947296143,2.7215585112571716
42,3,Independent,1,40.759254455566406,6.384297491154873,5.188468933105469,8.581051975488663
42,3,Independent,2,135.8654327392578,11.656132838092478,10.122310638427734,11.29864752292633
42,3,FedAvg,0,7.172738075256348,2.6781967954682395,2.1739909648895264,2.7898527681827545
42,3,FedAvg,1,18.693498611450195,4.323597878092989,3.523790121078491,5.616071447730064
42,3,FedAvg,2,89.9339599609375,9.48335172610072,7.526766777038574,8.050774782896042
42,3,Proposed,0,6.989021301269531,2.6436757178726613,2.1525211334228516,2.770601585507393
42,3,Proposed,1,19.156553268432617,4.376819994977246,3.5508923530578613,5.7194288820028305
42,3,Proposed,2,90.60533142089844,9.518683281888228,7.657009601593018,8.26709046959877
2024,3,Independent,0,9.424337387084961,3.0699083678645787,2.436464309692383,3.0469227582216263
2024,3,Independent,1,38.07600784301758,6.170575973360799,4.730532169342041,7.783046364784241
2024,3,Independent,2,125.82274627685547,11.217073873201311,9.657235145568848,10.992327332496643
2024,3,FedAvg,0,9.623422622680664,3.1021641837079907,2.484550714492798,3.1121760606765747
2024,3,FedAvg,1,34.710506439208984,5.891562308862479,4.412658214569092,7.156036794185638
2024,3,FedAvg,2,90.71736907958984,9.524566608491424,7.636565208435059,8.298975974321365
2024,3,Proposed,0,8.730071067810059,2.95466936691909,2.3565449714660645,2.9494546353816986
2024,3,Proposed,1,34.2814826965332,5.855039085824552,4.373246192932129,7.084169983863831
2024,3,Proposed,2,90.16432189941406,9.495489555542362,7.604166030883789,8.265691250562668
2025,3,Independent,0,7.330353260040283,2.7074625131366608,2.168142318725586,2.8536800295114517
2025,3,Independent,1,24.98002815246582,4.998002416212484,3.9537179470062256,6.111694499850273
2025,3,Independent,2,122.84834289550781,11.08369716725912,9.461270332336426,10.536151379346848
2025,3,FedAvg,0,12.090280532836914,3.4771080703419206,2.9065372943878174,3.8603346794843674
2025,3,FedAvg,1,23.323564529418945,4.829447642269139,3.8650784492492676,6.1531029641628265
2025,3,FedAvg,2,98.60665130615234,9.930088182194172,8.007134437561035,8.599525690078735
2025,3,Proposed,0,9.674985885620117,3.110463934145535,2.5354511737823486,3.3650849014520645
2025,3,Proposed,1,21.251468658447266,4.6099315242688,3.629188060760498,5.731469392776489
2025,3,Proposed,2,96.66927337646484,9.832053365216487,7.815446853637695,8.329133689403534
42,5,Independent,0,7.1110758781433105,2.6666600604770214,2.1472713947296143,2.7215585112571716
42,5,Independent,1,40.759254455566406,6.384297491154873,5.188468933105469,8.581051975488663
42,5,Independent,2,135.8654327392578,11.656132838092478,10.122310638427734,11.29864752292633
42,5,Independent,3,27.95155906677246,5.286923402771452,4.210960388183594,5.86734265089035
42,5,Independent,4,108.70474243164062,10.426156647185032,7.420491695404053,81.91600441932678
42,5,FedAvg,0,10.236201286315918,3.199406395929707,2.6335065364837646,3.421173244714737
42,5,FedAvg,1,25.780906677246094,5.077490194697188,4.080389499664307,6.7145101726055145
42,5,FedAvg,2,94.01580047607422,9.696174527929776,8.066919326782227,8.840888738632202
42,5,FedAvg,3,18.797327041625977,4.335588430839115,3.4565112590789795,4.908643290400505
42,5,FedAvg,4,119.75666809082031,10.943338982724619,8.234550476074219,109.57446098327637
42,5,Proposed,0,8.781795501708984,2.9634094387561407,2.4271185398101807,3.147970139980316
42,5,Proposed,1,23.647781372070312,4.86289845381027,3.9018704891204834,6.393837928771973
42,5,Proposed,2,92.7535400390625,9.630863930046074,7.972728729248047,8.7102971971035
42,5,Proposed,3,17.560787200927734,4.190559294524745,3.323340654373169,4.700862243771553
42,5,Proposed,4,119.33064270019531,10.92385658548277,8.156121253967285,107.4416995048523
2024,5,Independent,0,9.424337387084961,3.0699083678645787,2.436464309692383,3.0469227582216263
2024,5,Independent,1,38.07600784301758,6.170575973360799,4.730532169342041,7.783046364784241
2024,5,Independent,2,125.82274627685547,11.217073873201311,9.657235145568848,10.992327332496643
2024,5,Independent,3,30.6965274810791,5.5404447006606885,4.214447498321533,5.2168939262628555
2024,5,Independent,4,125.24516296386719,11.191298537876076,8.526347160339355,105.4155945777893
2024,5,FedAvg,0,7.539608955383301,2.7458348376009982,2.1962504386901855,2.74574663490057
2024,5,FedAvg,1,34.12370300292969,5.84154970901812,4.398495674133301,7.1691542863845825
2024,5,FedAvg,2,78.7907943725586,8.87641787955922,7.210090637207031,7.873661816120148
2024,5,FedAvg,3,20.048934936523438,4.4776037047201305,3.368492364883423,4.293029010295868
2024,5,FedAvg,4,110.97750854492188,10.534586301555551,6.982935905456543,104.20819520950317
2024,5,Proposed,0,7.193238258361816,2.68202130087772,2.1386966705322266,2.672654204070568
2024,5,Proposed,1,33.9505729675293,5.826712020301784,4.376434326171875,7.124292850494385
2024,5,Proposed,2,78.48592376708984,8.859228169941773,7.17548942565918,7.826247811317444
2024,5,Proposed,3,20.009300231933594,4.473175631688699,3.360658645629883,4.284681007266045
2024,5,Proposed,4,110.2191162109375,10.498529240371601,6.86163854598999,102.45740413665771
2025,5,Independent,0,7.330353260040283,2.7074625131366608,2.168142318725586,2.8536800295114517
2025,5,Independent,1,24.98002815246582,4.998002416212484,3.9537179470062256,6.111694499850273
2025,5,Independent,2,122.84834289550781,11.08369716725912,9.461270332336426,10.536151379346848
2025,5,Independent,3,24.745866775512695,4.974521763497743,4.019181251525879,5.723587796092033
2025,5,Independent,4,249.66114807128906,15.800669228589308,12.123624801635742,530.0017356872559
2025,5,FedAvg,0,6.788431644439697,2.6054618869673947,2.102536678314209,2.7809100225567818
2025,5,FedAvg,1,19.877450942993164,4.4584135006741095,3.431497573852539,5.36087267100811
2025,5,FedAvg,2,96.00740051269531,9.798336619686799,7.654416561126709,8.061282336711884
2025,5,FedAvg,3,23.594078063964844,4.857373576735152,3.860609531402588,5.455036461353302
2025,5,FedAvg,4,335.16845703125,18.307606534750796,16.18793487548828,527.8162002563477
2025,5,Proposed,0,5.86659049987793,2.42210456006299,1.9347509145736694,2.5458095595240593
2025,5,Proposed,1,20.17921257019043,4.492127844372913,3.3819589614868164,5.219471454620361
2025,5,Proposed,2,96.66973114013672,9.832076644337997,7.589239597320557,7.935605198144913
2025,5,Proposed,3,22.3864803314209,4.731435335225549,3.701427936553955,5.189794674515724
2025,5,Proposed,4,333.84100341796875,18.27131641174135,16.016342163085938,484.14316177368164
42,8,Independent,0,7.1110758781433105,2.6666600604770214,2.1472713947296143,2.7215585112571716
42,8,Independent,1,40.759254455566406,6.384297491154873,5.188468933105469,8.581051975488663
42,8,Independent,2,135.8654327392578,11.656132838092478,10.122310638427734,11.29864752292633
42,8,Independent,3,27.95155906677246,5.286923402771452,4.210960388183594,5.86734265089035
42,8,Independent,4,108.70474243164062,10.426156647185032,7.420491695404053,81.91600441932678
42,8,Independent,5,8.161707878112793,2.8568702942403235,2.4073665142059326,3.1354203820228577
42,8,Independent,6,34.367958068847656,5.862419131113678,3.876505136489868,6.3477277755737305
42,8,Independent,7,118.92178344726562,10.905126475528178,9.204978942871094,11.110958456993103
42,8,FedAvg,0,6.511611461639404,2.5517859357006034,2.0802791118621826,2.662155032157898
42,8,FedAvg,1,19.363157272338867,4.40035876632109,3.5688161849975586,5.700051784515381
42,8,FedAvg,2,93.06470489501953,9.64700497019772,7.882872104644775,8.515316992998123
42,8,FedAvg,3,19.39743423461914,4.4042518359670515,3.4556751251220703,4.731689020991325
42,8,FedAvg,4,182.14950561523438,13.49627747251939,10.49252700805664,110.60755252838135
42,8,FedAvg,5,7.262951850891113,2.694986428702585,2.2462992668151855,2.927195094525814
42,8,FedAvg,6,31.125612258911133,5.579033272791186,3.7346949577331543,6.194873154163361
42,8,FedAvg,7,92.62796783447266,9.624342462447638,7.600500583648682,8.728474378585815
42,8,Proposed,0,6.21734094619751,2.4934596339619195,2.021888494491577,2.585178054869175
42,8,Proposed,1,19.15645408630371,4.376808664575561,3.546783685684204,5.654424801468849
42,8,Proposed,2,92.70954895019531,9.62857979923287,7.8535380363464355,8.480377495288849
42,8,Proposed,3,18.123010635375977,4.257112946044065,3.3380560874938965,4.576822742819786
42,8,Proposed,4,170.71432495117188,13.065769206256931,10.045665740966797,109.19519662857056
42,8,Proposed,5,6.856608867645264,2.618512720542954,2.176842212677002,2.8347888961434364
42,8,Proposed,6,30.95677947998047,5.563881691767041,3.7303690910339355,6.179652363061905
42,8,Proposed,7,92.73248291015625,9.629770657194088,7.579179286956787,8.690155297517776
2024,8,Independent,0,9.424337387084961,3.0699083678645787,2.436464309692383,3.0469227582216263
2024,8,Independent,1,38.07600784301758,6.170575973360799,4.730532169342041,7.783046364784241
2024,8,Independent,2,125.82274627685547,11.217073873201311,9.657235145568848,10.992327332496643
2024,8,Independent,3,30.6965274810791,5.5404447006606885,4.214447498321533,5.2168939262628555
2024,8,Independent,4,125.24516296386719,11.191298537876076,8.526347160339355,105.4155945777893
2024,8,Independent,5,6.2389116287231445,2.497781341255304,1.9777843952178955,2.6542359963059425
2024,8,Independent,6,29.111148834228516,5.39547484789138,4.087008953094482,6.389749050140381
2024,8,Independent,7,130.4434814453125,11.421185640961822,10.144853591918945,12.398023903369904
2024,8,FedAvg,0,6.758838653564453,2.5997766545540895,2.062108039855957,2.574447914958
2024,8,FedAvg,1,34.913536071777344,5.908767728704298,4.427853107452393,7.216501235961914
2024,8,FedAvg,2,79.23762512207031,8.901551837857841,7.223317623138428,7.908222079277039
2024,8,FedAvg,3,20.97640609741211,4.5800006656562955,3.646803617477417,4.626362770795822
2024,8,FedAvg,4,130.3198699951172,11.415772860175398,8.14172077178955,115.02788066864014
2024,8,FedAvg,5,7.019360065460205,2.649407493282263,2.1001265048980713,2.838985435664654
2024,8,FedAvg,6,24.121654510498047,4.911380102425188,3.6875808238983154,5.762548744678497
2024,8,FedAvg,7,69.59817504882812,8.34255207048947,7.0908355712890625,8.436968922615051
2024,8,Proposed,0,6.373765468597412,2.5246317491066717,1.9987964630126953,2.493657171726227
2024,8,Proposed,1,34.42967224121094,5.867680311776617,4.382485389709473,7.135360687971115
2024,8,Proposed,2,77.94575500488281,8.828689314098828,7.142738342285156,7.804011553525925
2024,8,Proposed,3,20.2484188079834,4.499824308568435,3.5486249923706055,4.508979246020317
2024,8,Proposed,4,120.99642181396484,10.999837353977778,7.699431896209717,111.34779453277588
2024,8,Proposed,5,6.581193447113037,2.5653836841909317,2.028512716293335,2.7410412207245827
2024,8,Proposed,6,24.26370620727539,4.925820358810844,3.697962760925293,5.773848667740822
2024,8,Proposed,7,68.37074279785156,8.26866027829488,7.005185604095459,8.327223360538483
2025,8,Independent,0,7.330353260040283,2.7074625131366608,2.168142318725586,2.8536800295114517
2025,8,Independent,1,24.98002815246582,4.998002416212484,3.9537179470062256,6.111694499850273
2025,8,Independent,2,122.84834289550781,11.08369716725912,9.461270332336426,10.536151379346848
2025,8,Independent,3,24.745866775512695,4.974521763497743,4.019181251525879,5.723587796092033
2025,8,Independent,4,249.66114807128906,15.800669228589308,12.123624801635742,530.0017356872559
2025,8,Independent,5,10.794078826904297,3.2854343437214353,2.6724801063537598,3.5420410335063934
2025,8,Independent,6,27.701095581054688,5.263183027508609,4.139174938201904,6.49658739566803
2025,8,Independent,7,150.49554443359375,12.267662549711487,10.014777183532715,11.27123013138771
2025,8,FedAvg,0,7.180207252502441,2.6795908740892593,2.121906042098999,2.8093330562114716
2025,8,FedAvg,1,21.25815773010254,4.610656973805636,3.5812265872955322,5.663171410560608
2025,8,FedAvg,2,98.45500946044922,9.922449771122514,8.112658500671387,8.765630424022675
2025,8,FedAvg,3,24.39577865600586,4.939208302552734,3.9800772666931152,5.6931667029857635
2025,8,FedAvg,4,388.0708923339844,19.69951502788798,17.41768455505371,573.3640670776367
2025,8,FedAvg,5,8.028823852539062,2.8335179287484777,2.3124136924743652,3.049269877374172
2025,8,FedAvg,6,27.366682052612305,5.23131742992263,4.134158134460449,6.547543406486511
2025,8,FedAvg,7,120.02714538574219,10.955690091716823,8.486916542053223,9.27959755063057
2025,8,Proposed,0,6.658668041229248,2.5804395054388016,2.0340089797973633,2.689563110470772
2025,8,Proposed,1,20.962961196899414,4.578532646700187,3.526937484741211,5.561944842338562
2025,8,Proposed,2,98.54358673095703,9.926912245555364,8.127501487731934,8.778420090675354
2025,8,Proposed,3,23.773229598999023,4.875779896488256,3.90370774269104,5.58440238237381
2025,8,Proposed,4,375.9736328125,19.390039525810668,17.038415908813477,548.4214782714844
2025,8,Proposed,5,7.408924579620361,2.721933977821718,2.215634346008301,2.9180603101849556
2025,8,Proposed,6,26.932363510131836,5.189640017393484,4.087427139282227,6.45371749997139
2025,8,Proposed,7,119.54096221923828,10.933478962308305,8.44405460357666,9.223376959562302
42,10,Independent,0,7.1110758781433105,2.6666600604770214,2.1472713947296143,2.7215585112571716
42,10,Independent,1,40.759254455566406,6.384297491154873,5.188468933105469,8.581051975488663
42,10,Independent,2,135.8654327392578,11.656132838092478,10.122310638427734,11.29864752292633
42,10,Independent,3,27.95155906677246,5.286923402771452,4.210960388183594,5.86734265089035
42,10,Independent,4,108.70474243164062,10.426156647185032,7.420491695404053,81.91600441932678
42,10,Independent,5,8.161707878112793,2.8568702942403235,2.4073665142059326,3.1354203820228577
42,10,Independent,6,34.367958068847656,5.862419131113678,3.876505136489868,6.3477277755737305
42,10,Independent,7,118.92178344726562,10.905126475528178,9.204978942871094,11.110958456993103
42,10,Independent,8,32.93561553955078,5.738955962503178,4.308573246002197,5.381380021572113
42,10,Independent,9,65.50005340576172,8.093210327537628,5.474179267883301,27.846863865852356
42,10,FedAvg,0,6.824060440063477,2.6122902671915074,2.121816873550415,2.7211131528019905
42,10,FedAvg,1,18.932130813598633,4.351106849250962,3.5438404083251953,5.655130743980408
42,10,FedAvg,2,91.9139633178711,9.587177025478933,7.7589802742004395,8.347027003765106
42,10,FedAvg,3,18.05103874206543,4.2486514027471625,3.300082206726074,4.50967475771904
42,10,FedAvg,4,165.31036376953125,12.857307796328563,9.620779037475586,106.34950399398804
42,10,FedAvg,5,7.899224281311035,2.81055586696138,2.3563337326049805,3.0763868242502213
42,10,FedAvg,6,31.397899627685547,5.603382873558218,3.669654130935669,6.057337298989296
42,10,FedAvg,7,90.69109344482422,9.523187147422034,7.476181983947754,8.568677306175232
42,10,FedAvg,8,30.212772369384766,5.4966146280583255,4.176234722137451,5.209913104772568
42,10,FedAvg,9,103.84835815429688,10.190601461851841,6.683792591094971,39.931878447532654
42,10,Proposed,0,6.541285991668701,2.557593789417839,2.0759990215301514,2.6591312140226364
42,10,Proposed,1,18.792970657348633,4.335086003454676,3.5252974033355713,5.61593770980835
42,10,Proposed,2,91.71202087402344,9.576639330893872,7.727317810058594,8.310562372207642
42,10,Proposed,3,17.04489517211914,4.128546375192985,3.1861252784729004,4.363155737519264
42,10,Proposed,4,156.7166748046875,12.51865307469967,9.238320350646973,104.6561598777771
42,10,Proposed,5,7.460019588470459,2.7313036426714734,2.287480115890503,2.984095737338066
42,10,Proposed,6,31.376550674438477,5.601477543866303,3.6705543994903564,6.047942861914635
42,10,Proposed,7,90.74236297607422,9.525878593393589,7.46306848526001,8.547777682542801
42,10,Proposed,8,29.854902267456055,5.463963970182824,4.12276554107666,5.14904111623764
42,10,Proposed,9,102.39185333251953,10.118885972898378,6.576493263244629,39.16940987110138
2024,10,Independent,0,9.424337387084961,3.0699083678645787,2.436464309692383,3.0469227582216263
2024,10,Independent,1,38.07600784301758,6.170575973360799,4.730532169342041,7.783046364784241
2024,10,Independent,2,125.82274627685547,11.217073873201311,9.657235145568848,10.992327332496643
2024,10,Independent,3,30.6965274810791,5.5404447006606885,4.214447498321533,5.2168939262628555
2024,10,Independent,4,125.24516296386719,11.191298537876076,8.526347160339355,105.4155945777893
2024,10,Independent,5,6.2389116287231445,2.497781341255304,1.9777843952178955,2.6542359963059425
2024,10,Independent,6,29.111148834228516,5.39547484789138,4.087008953094482,6.389749050140381
2024,10,Independent,7,130.4434814453125,11.421185640961822,10.144853591918945,12.398023903369904
2024,10,Independent,8,47.165565490722656,6.867719089386421,5.31003475189209,6.986696273088455
2024,10,Independent,9,105.46912384033203,10.269816154164204,7.061302185058594,108.46421718597412
2024,10,FedAvg,0,7.907130241394043,2.811961991456151,2.239701271057129,2.79934611171484
2024,10,FedAvg,1,35.490234375,5.957368074493971,4.5140275955200195,7.381323724985123
2024,10,FedAvg,2,81.9745101928711,9.053977589594039,7.371697902679443,8.124538511037827
2024,10,FedAvg,3,23.408153533935547,4.838197343426118,3.855685234069824,4.89015057682991
2024,10,FedAvg,4,170.6026153564453,13.06149361123931,10.584541320800781,118.17467212677002
2024,10,FedAvg,5,8.186878204345703,2.861272130424805,2.2931392192840576,3.103683888912201
2024,10,FedAvg,6,22.958105087280273,4.791461685882532,3.618191719055176,5.700257793068886
2024,10,FedAvg,7,75.27881622314453,8.67633656695869,7.450974941253662,8.868778496980667
2024,10,FedAvg,8,31.45330810546875,5.608324893002255,4.396017551422119,5.72294257581234
2024,10,FedAvg,9,236.4673614501953,15.377495291828097,12.84607219696045,366.7099952697754
2024,10,Proposed,0,7.276015758514404,2.6974090825298274,2.136101722717285,2.6689162477850914
2024,10,Proposed,1,34.774375915527344,5.896980236996504,4.439794540405273,7.237710058689117
2024,10,Proposed,2,81.27831268310547,9.015448556955192,7.314492225646973,8.043533563613892
2024,10,Proposed,3,23.341102600097656,4.831263043976974,3.816606044769287,4.827316850423813
2024,10,Proposed,4,173.58712768554688,13.175246778923986,10.825468063354492,114.70444202423096
2024,10,Proposed,5,7.586219310760498,2.7543092256971615,2.193739414215088,2.967275492846966
2024,10,Proposed,6,23.24156951904297,4.820951101083994,3.6404976844787598,5.718682333827019
2024,10,Proposed,7,73.99153137207031,8.601833023958923,7.357609748840332,8.74134749174118
2024,10,Proposed,8,31.157066345214844,5.581851515869519,4.363354206085205,5.663244426250458
2024,10,Proposed,9,235.07876586914062,15.332278560903484,12.704865455627441,352.0472288131714
2025,10,Independent,0,7.330353260040283,2.7074625131366608,2.168142318725586,2.8536800295114517
2025,10,Independent,1,24.98002815246582,4.998002416212484,3.9537179470062256,6.111694499850273
2025,10,Independent,2,122.84834289550781,11.08369716725912,9.461270332336426,10.536151379346848
2025,10,Independent,3,24.745866775512695,4.974521763497743,4.019181251525879,5.723587796092033
2025,10,Independent,4,249.66114807128906,15.800669228589308,12.123624801635742,530.0017356872559
2025,10,Independent,5,10.794078826904297,3.2854343437214353,2.6724801063537598,3.5420410335063934
2025,10,Independent,6,27.701095581054688,5.263183027508609,4.139174938201904,6.49658739566803
2025,10,Independent,7,150.49554443359375,12.267662549711487,10.014777183532715,11.27123013138771
2025,10,Independent,8,31.025177001953125,5.570024865469914,4.301187992095947,5.627338215708733
2025,10,Independent,9,95.8585433959961,9.790737632885282,7.942741394042969,20.555277168750763
2025,10,FedAvg,0,6.5849103927612305,2.5661080243748957,2.048778533935547,2.69655529409647
2025,10,FedAvg,1,20.801164627075195,4.560829379298813,3.436917543411255,5.299004912376404
2025,10,FedAvg,2,95.11307525634766,9.752593258018488,7.694418907165527,8.110292255878448
2025,10,FedAvg,3,23.3134822845459,4.82840369941722,3.6814558506011963,5.189306288957596
2025,10,FedAvg,4,389.7326965332031,19.741648779501755,17.373180389404297,540.2084827423096
2025,10,FedAvg,5,7.330788612365723,2.7075429105308233,2.197221517562866,2.8846146538853645
2025,10,FedAvg,6,25.679540634155273,5.067498459215876,3.8929243087768555,6.044220551848412
2025,10,FedAvg,7,113.80755615234375,10.668062436653797,7.76538610458374,8.289401978254318
2025,10,FedAvg,8,23.883941650390625,4.887119975035463,3.7308671474456787,4.955434054136276
2025,10,FedAvg,9,87.44263458251953,9.351076653654355,7.336258411407471,20.018287003040314
2025,10,Proposed,0,6.319685935974121,2.5138985532384,2.003596067428589,2.635207027196884
2025,10,Proposed,1,20.786653518676758,4.559238260792778,3.4254250526428223,5.27850016951561
2025,10,Proposed,2,94.92503356933594,9.742947889080385,7.673896312713623,8.082936704158783
2025,10,Proposed,3,22.886945724487305,4.784030280473495,3.6604630947113037,5.152609944343567
2025,10,Proposed,4,380.3341369628906,19.502157238697738,17.116525650024414,525.4959583282471
2025,10,Proposed,5,7.029659271240234,2.651350461791167,2.1471452713012695,2.8174079954624176
2025,10,Proposed,6,25.55292320251465,5.054989931000323,3.8836100101470947,6.024471297860146
2025,10,Proposed,7,113.81865692138672,10.668582704435801,7.763498783111572,8.286213129758835
2025,10,Proposed,8,23.63928985595703,4.862025283352302,3.7072463035583496,4.925414547324181
2025,10,Proposed,9,81.77290344238281,9.042837134571363,6.956458568572998,18.908940255641937
