seed,feature_set,method,client_id,mse,rmse,mae,mape
42,flow_only,FedAvg,0,10.236201286315918,3.199406395929707,2.6335065364837646,3.421173244714737
42,flow_only,FedAvg,1,25.780906677246094,5.077490194697188,4.080389499664307,6.7145101726055145
42,flow_only,FedAvg,2,94.01580047607422,9.696174527929776,8.066919326782227,8.840888738632202
42,flow_only,FedAvg,3,18.797327041625977,4.335588430839115,3.4565112590789795,4.908643290400505
42,flow_only,FedAvg,4,119.75666809082031,10.943338982724619,8.234550476074219,109.57446098327637
42,flow_only,Proposed,0,8.781795501708984,2.9634094387561407,2.4271185398101807,3.147970139980316
42,flow_only,Proposed,1,23.647781372070312,4.86289845381027,3.9018704891204834,6.393837928771973
42,flow_only,Proposed,2,92.7535400390625,9.630863930046074,7.972728729248047,8.7102971971035
42,flow_only,Proposed,3,17.560787200927734,4.190559294524745,3.323340654373169,4.700862243771553
42,flow_only,Proposed,4,119.33064270019531,10.92385658548277,8.156121253967285,107.4416995048523
2024,flow_only,FedAvg,0,7.539608955383301,2.7458348376009982,2.1962504386901855,2.74574663490057
2024,flow_only,FedAvg,1,34.12370300292969,5.84154970901812,4.398495674133301,7.1691542863845825
2024,flow_only,FedAvg,2,78.7907943725586,8.87641787955922,7.210090637207031,7.873661816120148
2024,flow_only,FedAvg,3,20.048934936523438,4.4776037047201305,3.368492364883423,4.293029010295868
2024,flow_only,FedAvg,4,110.97750854492188,10.534586301555551,6.982935905456543,104.20819520950317
2024,flow_only,Proposed,0,7.193238258361816,2.68202130087772,2.1386966705322266,2.672654204070568
2024,flow_only,Proposed,1,33.9505729675293,5.826712020301784,4.376434326171875,7.124292850494385
2024,flow_only,Proposed,2,78.48592376708984,8.859228169941773,7.17548942565918,7.826247811317444
2024,flow_only,Proposed,3,20.009300231933594,4.473175631688699,3.360658645629883,4.284681007266045
2024,flow_only,Proposed,4,110.2191162109375,10.498529240371601,6.86163854598999,102.45740413665771
2025,flow_only,FedAvg,0,6.788431644439697,2.6054618869673947,2.102536678314209,2.7809100225567818
2025,flow_only,FedAvg,1,19.877450942993164,4.4584135006741095,3.431497573852539,5.36087267100811
2025,flow_only,FedAvg,2,96.00740051269531,9.798336619686799,7.654416561126709,8.061282336711884
2025,flow_only,FedAvg,3,23.594078063964844,4.857373576735152,3.860609531402588,5.455036461353302
2025,flow_only,FedAvg,4,335.16845703125,18.307606534750796,16.18793487548828,527.8162002563477
2025,flow_only,Proposed,0,5.86659049987793,2.42210456006299,1.9347509145736694,2.5458095595240593
2025,flow_only,Proposed,1,20.17921257019043,4.492127844372913,3.3819589614868164,5.219471454620361
2025,flow_only,Proposed,2,96.66973114013672,9.832076644337997,7.589239597320557,7.935605198144913
2025,flow_only,Proposed,3,22.3864803314209,4.731435335225549,3.701427936553955,5.189794674515724
2025,flow_only,Proposed,4,333.84100341796875,18.27131641174135,16.016342163085938,484.14316177368164
42,flow_time,FedAvg,0,19.257366180419922,4.388321567572268,3.738994836807251,4.8359546810388565
42,flow_time,FedAvg,1,34.48834228515625,5.872677607800061,4.79138708114624,7.902461290359497
42,flow_time,FedAvg,2,116.76190948486328,10.80564248366858,9.30801010131836,10.245976597070694
42,flow_time,FedAvg,3,42.198795318603516,6.496059984221476,5.157421588897705,7.181550562381744
42,flow_time,FedAvg,4,318.05462646484375,17.834086084373478,14.804837226867676,136.7785930633545
42,flow_time,Proposed,0,18.42955207824707,4.292965417779075,3.637845993041992,4.703015089035034
42,flow_time,Proposed,1,32.97962951660156,5.742789349837025,4.671473979949951,7.695023715496063
42,flow_time,Proposed,2,116.26133728027344,10.782455067389497,9.252501487731934,10.165934264659882
42,flow_time,Proposed,3,43.054935455322266,6.5616259764880125,5.149533271789551,7.143454998731613
