experiment,scenario,method,metric,mean,std,ci95_lower,ci95_upper,best,worst,n
fed_robustness,client_dropout@0.0,FedAvg,mae,6.08798300743103,0.6071060238356845,5.555831114603321,6.62013490025874,5.308116245269775,6.9668297290802,5
fed_robustness,client_dropout@0.0,FedAvg,rmse,7.721048176855156,0.4693630814943982,7.309633296365859,8.132463057344452,7.237227008226304,8.515714999894765,5
fed_robustness,client_dropout@0.0,FedAvg,mape,50.43866354227066,33.885180835492804,20.73699297328093,80.14033411126039,14.601234793663025,109.88637782633305,5
fed_robustness,client_dropout@0.0,FedAvg,r2,0.18665248830127773,0.09233868402112169,0.10571406312702986,0.2675909134755256,0.3163049653157379,0.03961286932765347,5
fed_robustness,client_dropout@0.0,FedAvg,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.0,FedAvg,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.0,Proposed,mae,6.007138938903808,0.5967444347092512,5.484069379391617,6.530208498416,5.273908090591431,6.912314701080322,5
fed_robustness,client_dropout@0.0,Proposed,rmse,7.645606940828172,0.4811959797481016,7.2238200677113555,8.067393813944987,7.181516888664859,8.482442659876511,5
fed_robustness,client_dropout@0.0,Proposed,mape,49.246761277318,32.592366389876815,20.678292533543164,77.81523002109284,14.38147284090519,106.03964261710644,5
fed_robustness,client_dropout@0.0,Proposed,r2,0.21014651698073,0.0777449704837045,0.14200004572790104,0.27829298823355897,0.3287282991289654,0.09908376304800248,5
fed_robustness,client_dropout@0.0,Proposed,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.0,Proposed,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.2,FedAvg,mae,5.947480955123902,0.5708626991940338,5.447097737046888,6.447864173200917,5.367193555831909,6.8069459915161135,5
fed_robustness,client_dropout@0.2,FedAvg,rmse,7.576755302176657,0.5059888701620494,7.13323650243672,8.020274101916595,6.915867879448814,8.39073587805664,5
fed_robustness,client_dropout@0.2,FedAvg,mape,48.36671966314316,31.502367734589292,20.753676866101976,75.97976246018433,15.29322825372219,102.35291071236134,5
