experiment,scenario_type,scenario,method,seed,dropout_rate,delay_rounds,noise_std,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round
fed_robustness,client_dropout,client_dropout@0.0,FedAvg,42,0.0,,,75.85069599151612,7.768677075093765,6.324328279495239,31.016627624630928,0.03961286932765347,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,FedAvg,1234,0.0,,,107.46272449493408,8.515714999894765,6.9668297290802,109.88637782633305,0.22607910313897034,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,FedAvg,2024,0.0,,,62.38265857696533,7.250769911922058,5.50184440612793,31.963312104344368,0.14095984204809975,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,FedAvg,3407,0.0,,,67.42031574249268,7.237227008226304,5.308116245269775,64.72576536238194,0.3163049653157379,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,FedAvg,5678,0.0,,,84.96405944824218,7.832851889138885,6.338796377182007,14.601234793663025,0.21030566167592718,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,Proposed,42,0.0,,,72.51532974243165,7.570107297335357,6.117518758773803,30.43290041387081,0.09908376304800248,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,Proposed,1234,0.0,,,107.90778636932373,8.482442659876511,6.912314701080322,106.03964261710644,0.24386240429146006,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,Proposed,2024,0.0,,,61.19979820251465,7.186986782324394,5.434982585906982,31.697975397109985,0.15921480825697004,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,Proposed,3407,0.0,,,66.53514995574952,7.181516888664859,5.273908090591431,63.68181511759758,0.3287282991289654,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.0,Proposed,5678,0.0,,,84.66721820831299,7.80698107593974,6.296970558166504,14.38147284090519,0.2198433101782519,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,FedAvg,42,0.2,,,62.90129909515381,6.915867879448814,5.4612952709198,27.024877443909645,0.2704377167626598,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,FedAvg,1234,0.2,,,106.59888515472412,8.39073587805664,6.8069459915161135,102.35291071236134,0.26996111546265,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,FedAvg,2024,0.2,,,65.53710918426513,7.4086990027618755,5.666144227981567,32.80052900314331,0.09780216171882847,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,FedAvg,3407,0.2,,,67.94528636932372,7.30816419233885,5.367193555831909,64.36205290257931,0.2981828105043557,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,FedAvg,5678,0.2,,,83.12521629333496,7.860309558277109,6.4358257293701175,15.29322825372219,0.16986346971851077,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,Proposed,42,0.2,,,61.49467449188232,6.8194813885717025,5.373525762557984,26.8157958984375,0.295566823933452,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,Proposed,1234,0.2,,,107.72394695281983,8.372717132635664,6.744352769851685,97.17541456222534,0.2849871853816404,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,Proposed,2024,0.2,,,63.86374912261963,7.306048241956414,5.547531795501709,32.107998952269554,0.13164653732555864,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,Proposed,3407,0.2,,,66.00205745697022,7.201250649945591,5.270062208175659,62.787450179457664,0.3189591899988361,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.2,Proposed,5678,0.2,,,82.68362216949463,7.801628901575024,6.3698265075683596,15.052408203482628,0.19445519741327438,,,3.0,3.0
