seed,method,client_id,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round,noise_std,experiment,scenario_type,scenario,dropout_rate,delay_rounds
42,FedAvg,0,13.672198295593262,3.697593581722207,3.114872694015503,4.035981371998787,-0.16214633893781016,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,FedAvg,1,29.547073364257812,5.435721972678313,4.431417942047119,7.3132045567035675,-0.06161828613958975,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,FedAvg,2,102.05097961425781,10.102028490073556,8.532718658447266,9.412655979394913,-0.03393394340407596,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,FedAvg,3,27.408842086791992,5.235345460119322,4.269153594970703,6.002151966094971,0.5829467467329096,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,FedAvg,4,206.5743865966797,14.372695870875432,11.273478507995605,128.3191442489624,-0.12718383161316638,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,Proposed,0,12.133251190185547,3.483281669659453,2.9084665775299072,3.7665367126464844,-0.03133466690759645,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,Proposed,1,27.66074562072754,5.25934840267571,4.271993160247803,7.036883383989334,0.0061570328683734354,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,Proposed,2,99.9347915649414,9.996739046556202,8.402420997619629,9.25147756934166,-0.012493644791714553,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,Proposed,3,25.711355209350586,5.070636568454752,4.124944686889648,5.787132307887077,0.6087757643184337,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,Proposed,4,197.13650512695312,14.04053079933067,10.879768371582031,126.3224720954895,-0.07568567024748374,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
42,FedAvg,0,8.331754684448242,2.886477902989774,2.3688104152679443,3.036790154874325,0.2917950570911455,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
