seed,method,client_id,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round,dropout_rate,experiment,scenario_type,scenario,delay_rounds,noise_std
42,FedAvg,0,13.672198295593262,3.697593581722207,3.114872694015503,4.035981371998787,-0.16214633893781016,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,FedAvg,1,29.547073364257812,5.435721972678313,4.431417942047119,7.3132045567035675,-0.06161828613958975,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,FedAvg,2,102.05097961425781,10.102028490073556,8.532718658447266,9.412655979394913,-0.03393394340407596,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,FedAvg,3,27.408842086791992,5.235345460119322,4.269153594970703,6.002151966094971,0.5829467467329096,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,FedAvg,4,206.5743865966797,14.372695870875432,11.273478507995605,128.3191442489624,-0.12718383161316638,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,Proposed,0,12.133251190185547,3.483281669659453,2.9084665775299072,3.7665367126464844,-0.03133466690759645,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,Proposed,1,27.66074562072754,5.25934840267571,4.271993160247803,7.036883383989334,0.0061570328683734354,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,Proposed,2,99.9347915649414,9.996739046556202,8.402420997619629,9.25147756934166,-0.012493644791714553,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,Proposed,3,25.711355209350586,5.070636568454752,4.124944686889648,5.787132307887077,0.6087757643184337,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,Proposed,4,197.13650512695312,14.04053079933067,10.879768371582031,126.3224720954895,-0.07568567024748374,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
42,FedAvg,0,8.712824821472168,2.9517494509988764,2.442913055419922,3.1475096940994263,0.25940380997350176,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,FedAvg,1,20.907947540283203,4.572520917424348,3.7326340675354004,6.033644452691078,0.2487830427036244,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,FedAvg,2,90.68096923828125,9.522655577005883,7.857022285461426,8.518588542938232,0.08126186101208266,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,FedAvg,3,18.194835662841797,4.265540488946482,3.4161674976348877,4.716898500919342,0.7231471662961664,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,FedAvg,4,176.00991821289062,13.266872962868478,9.857739448547363,112.70774602890015,0.03959270382792379,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,Proposed,0,8.00352954864502,2.8290509978869274,2.3345515727996826,3.0022379010915756,0.3196944837234491,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,Proposed,1,20.229873657226562,4.49776318376441,3.669985771179199,5.9075988829135895,0.2731462282954239,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,Proposed,2,90.1084976196289,9.492549584786424,7.7958984375,8.435580879449844,0.08706181014845782,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,Proposed,3,17.425432205200195,4.174378062083044,3.3173789978027344,4.569588974118233,0.7348544443070935,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,Proposed,4,171.70603942871094,13.103665114337703,9.7498140335083,112.16397285461426,0.06307715319283569,,,3,3,0.2,fed_robustness,client_dropout,client_dropout@0.2,,
42,FedAvg,0,9.772979736328125,3.1261765363344605,2.5888476371765137,3.3327165991067886,0.16928995406241487,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,FedAvg,1,21.32961654663086,4.618399782027414,3.7640292644500732,6.0690149664878845,0.23363272116328626,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,FedAvg,2,90.7723159790039,9.527450654766149,7.8350114822387695,8.460041880607605,0.08033637662395943,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,FedAvg,3,21.596158981323242,4.647166769260949,3.703075885772705,5.087268725037575,0.6713926188224737,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,FedAvg,4,228.42138671875,15.113615937913401,11.472167015075684,115.18703699111938,-0.24639299588046737,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,Proposed,0,8.743289947509766,2.9569054681389066,2.4423139095306396,3.1342491507530212,0.25681426374786553,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,Proposed,1,20.386106491088867,4.515097617005513,3.6818106174468994,5.894114077091217,0.26753279804075736,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,Proposed,2,89.72351837158203,9.472249910743594,7.729905128479004,8.312654495239258,0.09096232766733203,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,Proposed,3,21.11384391784668,4.594980295697326,3.6399877071380615,4.974186420440674,0.6787315524116313,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
42,Proposed,4,227.51596069335938,15.083632211551679,11.329878807067871,113.97738456726074,-0.24145261832955645,,,3,3,0.4,fed_robustness,client_dropout,client_dropout@0.4,,
2024,FedAvg,0,13.576773643493652,3.6846673721645016,3.0551440715789795,3.8197211921215057,-0.3092033070073532,,,3,3,0.0,fed_robustness,client_dropout,client_dropout@0.0,,
