event_id,node_id
2488,1520275617
2488,1520285277
2488,1520286108
2488,1520286839
2488,1520289210
2488,1520290720
2488,1520290853
2488,1520300554
2488,1520300681
2488,1520301682
2488,1520303688
2488,1520304644
2488,1520314891
2488,1520317984
2488,1520319231
2488,1520321490
2488,1520355797
2488,1520356573
2488,1520403320
2488,1520403749
2488,1520404681
2488,1520405903
2488,1520406003
2488,1520406606
2488,1520407506
2488,1520408690
2488,1520409002
2488,1520409042
2488,1520409195
2488,1520410192
2488,1520410792
2488,1520411495
2488,1520412035
2488,1520413144
2488,1520413426
2488,1520414066
2488,1520415235
2488,1520415438
2488,1520415732
2488,1520416434
2488,1520417583
2488,1520418168
2488,1520419081
2488,1520420151
2488,1520420435
2488,1520421047
2488,1520421139
2488,1520421825
2488,1520423737
2488,1520427476
2488,1520428558
2488,1520428568
2488,1520428812
2488,1520429776
2488,1520430275
2488,1520431537
2488,1520432250
2488,1520432295
2488,1520434488
2488,1520435941
2488,1520436282
2488,1520436321
2488,1520436443
2488,1520439071
2488,1520440529
2488,1520441256
2488,1520443857
2488,1520444547
2488,1520444915
2488,1520454700
2488,1520456574
2488,1520457094
2488,1520457700
2488,1520458078
2488,1520458208
2488,1520458750
2488,1520460477
2488,1520461056
2488,1520462486
2488,1520464618
2488,1520465541
2488,1520465725
2488,1520465800
2488,1520466055
2488,1520466547
2488,1520467929
2488,1520468607
2488,1520469692
2488,1520471008
2488,1520471350
2488,1520471382
2488,1520473452
2488,1520475711
2488,1520477158
2488,1520479330
2488,1520479860
2488,1520480423
2488,1520481182
2488,1520481876
2488,1520482141
2488,1520482691
2488,1520483069
2488,1520483581
2488,1520485085
2488,1520485549
2488,1520485860
2488,1520485867
2488,1520485989
2488,1520486807
2488,1520488280
2488,1520489185
2488,1520489318
2488,1520490203
2488,1520490648
2488,1520491385
2488,1520491667
2488,1520491926
2488,1520492345
2488,1520495392
2488,1520496096
2488,1520496862
2488,1520496957
2488,1520497862
2488,1520498568
2488,1520498667
2488,1520499331
2488,1529634179
2488,1529680361
2488,1529812508
2488,1530004846
2488,1530607484
2488,1530630575
2488,1530635598
2488,1530639255
2488,1530652491
2488,1530661477
2488,1530682365
2488,1530687820
2488,1530707584
2488,1530939498
2488,1530961490
2488,1530978588
2488,1530988207
2488,1531019936
2488,1531024159
2488,1531059282
2488,1531249308
2488,1531255201
2488,1531279093
2488,1531327932
2488,1531399729
2488,1531413090
2488,1531423406
2488,1532159269
2488,1532530026
2488,1534688837
2488,1549289220
2488,1549296719
2488,1549296747
2488,1549315143
2488,1549315196
2488,1549315465
2488,1549316899
2488,1549332573
2488,1549333588
2488,1549333871
2488,1549338461
2488,1549338916
2488,1549341217
2488,1549546864
2488,1549625109
2488,1549625352
2488,1549752115
2488,1549758757
2488,1549759539
2488,1550180371
2488,1550584796
2488,1550589533
2488,1552892963
2488,1553397478
2488,1553407623
2488,1553480013
2488,1553480205
2488,1553480980
2488,1553517286
2488,1553531257
2488,1553909500
2488,1554146734
2488,1554152431
2488,1554153041
2488,1554153266
2488,1554153326
2488,1554153329
2488,1554153616
2488,1554154450
2488,1554154575
2488,1554154814
2488,1554155261
2488,1554156289
2488,1554157369
2488,1554157769
2488,1554158056
2488,1554196120
2488,1554471875
2488,1554728656
2488,1554783189
2488,1556085008
2488,1556091280
2488,1556103018
2488,1556111109
