day_slot,observed_unique_count,invalid_flow_count,expected_count,missing_count,missing_ratio,is_slot_passed
0,2563891,0,2563891,0,0.0,true
1,2563891,0,2563891,0,0.0,true
2,2563891,0,2563891,0,0.0,true
3,2563891,0,2563891,0,0.0,true
4,2563891,0,2563891,0,0.0,true
5,2563891,0,2563891,0,0.0,true
6,2563891,0,2563891,0,0.0,true
7,2563891,0,2563891,0,0.0,true
8,2563891,0,2563891,0,0.0,true
9,2563891,0,2563891,0,0.0,true
10,2563891,0,2563891,0,0.0,true
11,2563891,0,2563891,0,0.0,true
12,2563891,0,2563891,0,0.0,true
13,2563891,0,2563891,0,0.0,true
14,2563891,0,2563891,0,0.0,true
15,2563891,0,2563891,0,0.0,true
16,2563891,0,2563891,0,0.0,true
17,2563891,0,2563891,0,0.0,true
18,2563891,0,2563891,0,0.0,true
19,2563891,0,2563891,0,0.0,true
20,2563891,0,2563891,0,0.0,true
21,2563891,0,2563891,0,0.0,true
22,2563891,0,2563891,0,0.0,true
23,2563891,0,2563891,0,0.0,true
24,2563891,0,2563891,0,0.0,true
25,2563891,0,2563891,0,0.0,true
26,2563891,0,2563891,0,0.0,true
27,2563891,0,2563891,0,0.0,true
28,2563891,0,2563891,0,0.0,true
29,2563891,0,2563891,0,0.0,true
30,2563891,0,2563891,0,0.0,true
31,2563891,0,2563891,0,0.0,true
32,2563891,0,2563891,0,0.0,true
33,2563891,0,2563891,0,0.0,true
34,2563891,0,2563891,0,0.0,true
35,2563891,0,2563891,0,0.0,true
36,2563891,0,2563891,0,0.0,true
37,2563891,0,2563891,0,0.0,true
38,2563891,0,2563891,0,0.0,true
39,2563891,0,2563891,0,0.0,true
40,2563891,0,2563891,0,0.0,true
41,2563891,0,2563891,0,0.0,true
42,2563891,0,2563891,0,0.0,true
43,2563891,0,2563891,0,0.0,true
44,2563891,0,2563891,0,0.0,true
45,2563891,0,2563891,0,0.0,true
46,2563891,0,2563891,0,0.0,true
47,2563891,0,2563891,0,0.0,true
48,2563891,0,2563891,0,0.0,true
49,2563891,0,2563891,0,0.0,true
50,2563891,0,2563891,0,0.0,true
51,2563891,0,2563891,0,0.0,true
52,2563891,0,2563891,0,0.0,true
53,2563891,0,2563891,0,0.0,true
54,2563891,0,2563891,0,0.0,true
55,2563891,0,2563891,0,0.0,true
56,2563891,0,2563891,0,0.0,true
57,2563891,0,2563891,0,0.0,true
58,2563891,0,2563891,0,0.0,true
59,2563891,0,2563891,0,0.0,true
60,2563891,0,2563891,0,0.0,true
61,2563891,0,2563891,0,0.0,true
62,2563891,0,2563891,0,0.0,true
63,2563891,0,2563891,0,0.0,true
64,2563891,0,2563891,0,0.0,true
65,2563891,0,2563891,0,0.0,true
66,2563891,0,2563891,0,0.0,true
67,2563891,0,2563891,0,0.0,true
68,2563891,0,2563891,0,0.0,true
69,2563891,0,2563891,0,0.0,true
70,2563891,0,2563891,0,0.0,true
71,2563891,0,2563891,0,0.0,true
72,2563891,0,2563891,0,0.0,true
73,2563891,0,2563891,0,0.0,true
74,2563891,0,2563891,0,0.0,true
75,2563891,0,2563891,0,0.0,true
76,2563891,0,2563891,0,0.0,true
77,2563891,0,2563891,0,0.0,true
78,2563891,0,2563891,0,0.0,true
79,2563891,0,2563891,0,0.0,true
80,2563891,0,2563891,0,0.0,true
81,2563891,0,2563891,0,0.0,true
82,2563891,0,2563891,0,0.0,true
83,2563891,0,2563891,0,0.0,true
84,2563891,0,2563891,0,0.0,true
85,2563891,0,2563891,0,0.0,true
86,2563891,0,2563891,0,0.0,true
87,2563891,0,2563891,0,0.0,true
88,2563891,0,2563891,0,0.0,true
89,2563891,0,2563891,0,0.0,true
90,2563891,0,2563891,0,0.0,true
91,2563891,0,2563891,0,0.0,true
92,2563891,0,2563891,0,0.0,true
93,2563891,0,2563891,0,0.0,true
94,2563891,0,2563891,0,0.0,true
95,2563891,0,2563891,0,0.0,true
